AvantiSensor1_ORIENT_W1,AvantiSensor1_ORIENT_X1,AvantiSensor1_ORIENT_Y1,AvantiSensor1_ORIENT_Z1,AvantiSensor2_ORIENT_W2,AvantiSensor2_ORIENT_X2,AvantiSensor2_ORIENT_Y2,AvantiSensor2_ORIENT_Z2
0.800734937,-0.076611042,-0.556838512,-0.207088098,0.571042776,0.017301522,-0.820667207,-0.010782521
0.800949514,-0.076373458,-0.556547463,-0.207128018,0.57172966,0.017403089,-0.820184827,-0.010927184
0.801108778,-0.076181516,-0.556321025,-0.207190692,0.571939528,0.017337628,-0.820038438,-0.011034667
0.801168621,-0.076081596,-0.556213081,-0.20728609,0.571704924,0.01736562,-0.820200264,-0.01111797
0.801214576,-0.076056592,-0.55611068,-0.207392752,0.571357191,0.017289929,-0.820445359,-0.011019912
0.801202834,-0.076093763,-0.556104541,-0.207441062,0.570906222,0.017210798,-0.820759058,-0.011158276
0.801108956,-0.076138906,-0.556227088,-0.207457647,0.570697308,0.017218504,-0.82090348,-0.011210907
0.801039159,-0.076225288,-0.556277156,-0.207561851,0.57061255,0.017262371,-0.820959568,-0.011341804
0.801010013,-0.076166205,-0.556316555,-0.20758982,0.570732236,0.017297875,-0.820874453,-0.011432749
0.801014721,-0.07608822,-0.556309342,-0.207619786,0.571016788,0.017171538,-0.820680439,-0.011350176
0.801056325,-0.076076552,-0.556218743,-0.207706481,0.571098208,0.017269596,-0.820624948,-0.011104185
0.801113784,-0.076140299,-0.556117952,-0.207731292,0.571144998,0.017523624,-0.820590377,-0.010857981
0.801219702,-0.07616777,-0.555976272,-0.207692191,0.571182609,0.017429205,-0.82056576,-0.010889771
0.801287293,-0.076164715,-0.55589062,-0.207661733,0.571221411,0.017235765,-0.820540488,-0.011065091
0.801318884,-0.076232597,-0.555808902,-0.207734019,0.571243227,0.017235063,-0.820526004,-0.011011688
0.801348209,-0.076309033,-0.555735588,-0.207788691,0.57107985,0.017542617,-0.820636451,-0.010778159
0.801391602,-0.076339796,-0.555664897,-0.207799017,0.571281552,0.017769335,-0.820492566,-0.010658568
0.801478624,-0.076177903,-0.555605829,-0.207680166,0.571717501,0.017736273,-0.820189774,-0.010651609
0.801533103,-0.076115206,-0.555539012,-0.207671583,0.57178998,0.017954014,-0.820135593,-0.010554042
0.801499665,-0.076060206,-0.555628419,-0.207581624,0.571602106,0.018204153,-0.820261061,-0.010553879
0.801483452,-0.075979911,-0.555681944,-0.207530841,0.571386993,0.018033357,-0.820412576,-0.010720243
