Sensor1_q0,Sensor1_q1,Sensor1_q2,Sensor1_q3,Sensor2_q0,Sensor2_q1,Sensor2_q2,Sensor2_q3
0.658386767,-0.355446935,-0.512985647,-0.420749515,0.49367696,-0.512925625,-0.453607172,-0.536126256
0.658868909,-0.354969561,-0.512513578,-0.420972914,0.494833767,-0.511686027,-0.452726096,-0.53698808
0.659346998,-0.354527771,-0.512046754,-0.421164751,0.495922834,-0.510555983,-0.451837331,-0.537807167
0.659829855,-0.354103118,-0.511549056,-0.421370775,0.496958494,-0.50952512,-0.450952679,-0.538570583
0.660292447,-0.353700727,-0.511132419,-0.421489507,0.497947931,-0.508603632,-0.450066119,-0.53926897
0.660739124,-0.35333851,-0.510643303,-0.421686172,0.498926103,-0.507747054,-0.449182898,-0.53990823
0.661155879,-0.352948219,-0.510178208,-0.421922624,0.499885798,-0.506943166,-0.448287219,-0.540519834
0.661577344,-0.352557808,-0.509725451,-0.422135711,0.500862122,-0.506152093,-0.447329789,-0.541149855
0.66200453,-0.352208495,-0.509217501,-0.422370255,0.501864731,-0.505356669,-0.446300268,-0.541814148
0.662479699,-0.351828068,-0.508682728,-0.422586858,0.502923131,-0.504528463,-0.445192844,-0.542515278
0.662965715,-0.351445436,-0.50812012,-0.422819942,0.504054189,-0.503676534,-0.444027394,-0.543211937
0.663466454,-0.351042479,-0.507575572,-0.423023015,0.505224705,-0.502794385,-0.442851067,-0.543901443
0.663942218,-0.350648642,-0.507009387,-0.423282176,0.50642252,-0.501869917,-0.441653341,-0.544614613
0.664444387,-0.350220621,-0.506428838,-0.423543721,0.507643402,-0.500869453,-0.440463603,-0.545362055
0.66496253,-0.349750578,-0.50583154,-0.423832148,0.508859575,-0.499782145,-0.439290494,-0.546171963
0.665485919,-0.349249512,-0.505214155,-0.424160331,0.51005888,-0.498621225,-0.438152522,-0.547027767
0.666053355,-0.348710507,-0.50457567,-0.424473017,0.511243105,-0.497386724,-0.437031627,-0.547941923
0.666644096,-0.348144174,-0.503900945,-0.424811929,0.512415707,-0.496084869,-0.43592611,-0.548906744
0.667207658,-0.347578764,-0.50323379,-0.425180823,0.51354152,-0.494771212,-0.434836268,-0.549903512
0.667785406,-0.347000003,-0.502525926,-0.425583422,0.514623046,-0.493451744,-0.433783054,-0.550909102
0.668381691,-0.34639442,-0.501805246,-0.425990969,0.515666306,-0.492137164,-0.432759792,-0.55191344
0.668962002,-0.345795363,-0.501085699,-0.426413625,0.516662657,-0.490838081,-0.431757569,-0.552922666
0.669540226,-0.345169663,-0.500401735,-0.426816016,0.517621517,-0.489560992,-0.430774748,-0.553923488
0.670140803,-0.344498098,-0.499747932,-0.42718187,0.518536448,-0.488302529,-0.429811835,-0.554925919
0.67073828,-0.343802273,-0.499076188,-0.427590102,0.519429564,-0.487070084,-0.428855419,-0.555912733
0.671331882,-0.343102694,-0.498408139,-0.427999705,0.52030319,-0.485875756,-0.42790553,-0.556871831
0.671953082,-0.342386991,-0.497707516,-0.428412706,0.521163106,-0.484707296,-0.426966488,-0.557806194
0.672553837,-0.341677934,-0.497032493,-0.428819627,0.521979272,-0.483545452,-0.426051825,-0.558749974
0.673135221,-0.340975553,-0.496295691,-0.42931959,0.522803724,-0.482353747,-0.425091982,-0.559739113
0.673736513,-0.340199411,-0.495530039,-0.429876208,0.523632824,-0.48108688,-0.424066484,-0.560831606
0.674324989,-0.339384079,-0.494769186,-0.430473953,0.52442956,-0.479766548,-0.422952622,-0.562057734
0.674958825,-0.338579625,-0.493971974,-0.431029171,0.525265098,-0.478350133,-0.421768069,-0.563373327
0.675655723,-0.337692499,-0.493213147,-0.431502163,0.526187778,-0.476867348,-0.420543224,-0.564683795
0.6763708,-0.336741298,-0.492487788,-0.4319534,0.527161956,-0.475343525,-0.419305772,-0.565978467
0.67707926,-0.335791379,-0.49174127,-0.432433188,0.528130591,-0.473834962,-0.418110967,-0.567222953
0.67777282,-0.334860086,-0.49096334,-0.432952493,0.529080272,-0.47233066,-0.416980863,-0.56842345
0.678486526,-0.333934486,-0.490156591,-0.433463246,0.53000921,-0.470862091,-0.415883958,-0.569578767
0.679182291,-0.333025545,-0.489391923,-0.433936715,0.5309636,-0.469372958,-0.414804399,-0.570705116
0.679905772,-0.332126319,-0.488591313,-0.434395075,0.531920433,-0.467913151,-0.41375038,-0.571776628
0.680624723,-0.331233114,-0.487793237,-0.434847683,0.53285104,-0.466513038,-0.412758708,-0.572770238
0.681322217,-0.330388218,-0.487005919,-0.435280114,0.533696473,-0.465216488,-0.411844879,-0.573694825
0.681976676,-0.329579026,-0.486245483,-0.435718805,0.534474373,-0.464005232,-0.410981059,-0.574570179
0.682633519,-0.32876578,-0.485507071,-0.43612811,0.535211146,-0.462854415,-0.410129577,-0.57542038
0.68324852,-0.328028113,-0.484783381,-0.436525136,0.53595674,-0.461754739,-0.409257799,-0.57622999
0.683872104,-0.327270895,-0.484002024,-0.436983764,0.53673774,-0.460639477,-0.408341587,-0.577045202
0.684490979,-0.326461434,-0.483280271,-0.437418759,0.537511289,-0.459471673,-0.407368511,-0.577943385
0.685112059,-0.325665444,-0.482539415,-0.437857509,0.538310766,-0.458258986,-0.406327367,-0.578894377
0.685770094,-0.32489714,-0.481713891,-0.438306987,0.53914994,-0.456998944,-0.405261189,-0.579855919
0.686459363,-0.324096292,-0.480844378,-0.43877539,0.540077746,-0.455685556,-0.404156268,-0.580796599
0.6871503,-0.323254168,-0.479992211,-0.439247876,0.541076779,-0.454301864,-0.403035074,-0.581729114
0.687863529,-0.322369397,-0.479109257,-0.439745545,0.542120278,-0.452839285,-0.401923537,-0.582666099
0.688601732,-0.321427166,-0.478209436,-0.440259129,0.543183982,-0.451293409,-0.400813103,-0.583638847
0.689348996,-0.320459396,-0.477292329,-0.440789938,0.544269562,-0.449668795,-0.39970085,-0.584643543
0.690128088,-0.319437027,-0.476411313,-0.441265911,0.545418322,-0.447933793,-0.398559391,-0.585683286
0.69094789,-0.318380684,-0.475532055,-0.441694677,0.54661715,-0.446135432,-0.397360653,-0.586751759
0.691814423,-0.317269295,-0.474600524,-0.442139506,0.547797263,-0.4443326,-0.396166116,-0.587825835
0.692685485,-0.316164434,-0.47368288,-0.442551106,0.54895556,-0.442576468,-0.39500922,-0.588847935
0.693557203,-0.315076619,-0.472724944,-0.442985773,0.550046384,-0.440914989,-0.393916845,-0.589807272
0.694406271,-0.314015359,-0.471771181,-0.443425596,0.551090181,-0.439346135,-0.392844677,-0.590717912
0.695201278,-0.313010991,-0.470865488,-0.443852484,0.552069664,-0.437866002,-0.391786665,-0.591604531
0.695977986,-0.312054813,-0.469955951,-0.444272369,0.553003371,-0.436473131,-0.390746057,-0.592449129
0.696710169,-0.31112951,-0.469104707,-0.44467324,0.553874731,-0.43516168,-0.389723063,-0.593273282
0.697400868,-0.310271084,-0.468304664,-0.445033491,0.554681897,-0.433955103,-0.388759792,-0.594034553
